Part,Quantity,Cost,Link
1100 mah 3.7v Lipo Battery,1,$8,https://www.amazon.com/EEMB-1100mAh-Battery-Rechargeable-Connector/dp/B08VRYS8FT/ref=sr_1_1_sspa?crid=2S3VX980YWSYC&dib=eyJ2IjoiMSJ9.527g58Y9Np3U4ay7Ynhft9oz5jxL_q0tBdK6Jhg5i2qVCMdKfWvJL8THuVJP7RQE6x-wDM8Cu73vTD1XErAjSV0LJI9dK2tP0vH9IWnzmUQr-9z2EAGGo5Q5OrNdqMsmbf_Q3wfwiUvJptw--vWJoOa3RCV4bCYNZiv3_PaYZjO2bpFiE_Itu4vJSibLMP0QDhyUv3Sc9uMUXXTg78WhYfs6S30XmR-Ful_mjPImVqFZQ0VDCc_Pggd_4yWz-JogyIsQ3m1c593V0howAHdYTjsS1uKYrYbxfJN5aGkXvE0.f4zLLmCzdgiIO8jumeIezm7sn-FJJ7xwXdujoz6P67I&dib_tag=se&keywords=1100mah+lipo&qid=1787577363&sprefix=1100mah+lipo%2Caps%2C232&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
0.1uf 100nf Capacitor,1,$6.99,https://www.amazon.com/Cermant-Ceramic-Capacitor-Electronic-Components/dp/B09XV2H8JQ/ref=sr_1_1_sspa?crid=1B3HEOI4SHRDX&dib=eyJ2IjoiMSJ9.6qUDsRkHHTUqf8P9kX608J8pb0AFmacKACuiH1WmKlAMmivuyfcB4J_xvNDvpBvNBqob3Hhq2qbnyBRN8LJM8Vk4g4q8afNPz1PHRJCttSlhOTskW73Mjob367rjBpI6G2WpiNLrt0T8ALwXkqlyOxsqsSbMCrnz1pZZ_B_xL5Nx9orR_2G4VbhyWfyEAPhrbBH-E3lGRe4EyauyfWjPZGifyafyxMbvB-6llVzj4o4.babndHCveyBYWv880SFTq68-2GwdoZurwkYyZJvkXjI&dib_tag=se&keywords=.1uf%2B100nf%2Bcap&qid=1787578249&sprefix=1uf%2B100nf%2Bcap%2Caps%2C197&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
1uf 5x11 Capacitor,1,$5.99,https://www.amazon.com/ALLECIN-Electrolytic-Capacitor-0-2x0-43in-Capacitors/dp/B0CMQC587X/ref=sr_1_2_sspa?crid=3NRLREVVVGBXT&dib=eyJ2IjoiMSJ9.lR-6Pbf0B99a1Sc-d8UPw8IJI70wH-FUQqi01tTrgXFx6HHPI8mYPschYT0isvdXOdGT9VMbcnNZHSVi1hpJqNoEcijvX_urZPDMqr3cZS98xJ0a0E-cQyd4u8NmUwVdBpBqrzbVKqtGq22r0xhcMk3kFCd5fWEXJbgLjZpEKldKJ9Zx16-EhT_DF3YIWNyu_FnLWRCGI0h7WYKN9EfI4k5AK97H0xKNSlCclJT8R00.7v72ScvPpcBOdfyB4kWu72nXPYqpJakuwLNrbw_G_pY&dib_tag=se&keywords=1uf%2Bcap&qid=1787578361&sprefix=1uf%2Bcap%2Caps%2C205&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
8GB Micro SD Card (recommended),1,$7.00,https://www.amazon.com/Sandisk-Flash-Memory-Card-SDSDQM-008G-B35/dp/B001D0ROGO/ref=sr_1_11?crid=2N7HL0JRJCJCA&dib=eyJ2IjoiMSJ9.d3rwZro5nE6gr6Gx8v3-XGvFFOpxnVdNnJInJiC-N2e5ggGLI5o2At338Pm8mco_0MQhWGG_SjGXDBQLHkcbeoSDzGGjuQyitHUxBsjJrLIQuL0JlBV3P7nmQ2d-P-NItJiWNDwdv5PWGMkXIomkYcXggyWgUQbqOqCdn1vETmiWnjvc2rk2Z2HQQxMf5UdBvEYCNlGfojaMBNiKBiVqnnb4lZcLDbDg-gW-k5ViG_jw2kG2CcauVuBgU8UM5q7PKW7rzdrMdHnbr41JSkA6EkUb41ypvPMljjHY1LibjJI.116xsKmgZ_NmRhoWFQqBfR0WX31kskdi3PJdN2T4oBg&dib_tag=se&keywords=8GB+micro+sd+card&qid=1787755184&s=electronics&sprefix=8gb+micro+sd+ca%2Celectronics%2C316&sr=1-11
Total(W/Tax), ,$31,

